Date,Time,Minute,Sleep
2023-11-30,18:55:00.0,55,Sleep Movement
2023-11-30,18:56:00.0,56,Sleep Movement
2023-11-30,18:57:00.0,57,Sleep Movement
2023-11-30,18:58:00.0,58,Sleep Movement
2023-11-30,18:59:00.0,59,Sleep Movement
2023-11-30,19:00:00.0,00,Sleep Movement
2023-11-30,19:01:00.0,01,Sleep Movement
2023-11-30,19:02:00.0,02,Sleep Movement
2023-11-30,19:03:00.0,03,Sleep Movement
2023-11-30,19:04:00.0,04,Sleep Movement
2023-11-30,19:05:00.0,05,Sleep Movement
2023-11-30,19:06:00.0,06,Sleep Movement
2023-11-30,19:07:00.0,07,Sleep Movement
2023-11-30,19:08:00.0,08,Sleep Movement
2023-11-30,19:09:00.0,09,Sleep Movement
2023-11-30,19:10:00.0,10,Sleep Movement
2023-11-30,19:11:00.0,11,Sleep Movement
2023-11-30,19:12:00.0,12,Sleep Movement
2023-11-30,19:13:00.0,13,Sleep Movement
2023-11-30,19:14:00.0,14,Sleep Movement
2023-11-30,19:15:00.0,15,Sleep Movement
2023-11-30,19:16:00.0,16,Sleep Movement
2023-11-30,19:17:00.0,17,Sleep Movement
2023-11-30,19:18:00.0,18,Sleep Movement
2023-11-30,19:19:00.0,19,Sleep Movement
2023-11-30,19:20:00.0,20,Sleep Movement
2023-11-30,19:21:00.0,21,Sleep Movement
2023-11-30,19:22:00.0,22,Sleep Movement
2023-11-30,19:23:00.0,23,Sleep Movement
2023-11-30,19:24:00.0,24,Sleep Movement
2023-11-30,19:25:00.0,25,Sleep Movement
2023-11-30,19:26:00.0,26,Sleep Movement
2023-11-30,19:27:00.0,27,Sleep Movement
2023-11-30,19:28:00.0,28,Sleep Movement
2023-11-30,19:29:00.0,29,Sleep Movement
2023-11-30,19:30:00.0,30,Sleep Movement
2023-11-30,19:31:00.0,31,Sleep Movement
2023-11-30,19:32:00.0,32,Sleep Movement
2023-11-30,19:33:00.0,33,Sleep Movement
2023-11-30,19:34:00.0,34,Sleep Movement
2023-11-30,19:35:00.0,35,Sleep Movement
2023-11-30,19:36:00.0,36,Sleep Movement
2023-11-30,19:37:00.0,37,Sleep Movement
2023-11-30,19:38:00.0,38,Sleep Movement
2023-11-30,19:39:00.0,39,Sleep Movement
2023-11-30,19:40:00.0,40,Sleep Movement
2023-11-30,19:41:00.0,41,Sleep Movement
2023-11-30,19:42:00.0,42,Sleep Movement
2023-11-30,19:43:00.0,43,Sleep Movement
2023-11-30,19:44:00.0,44,Sleep Movement
2023-11-30,19:45:00.0,45,Sleep Movement
2023-11-30,19:46:00.0,46,Sleep Movement
2023-11-30,19:47:00.0,47,Sleep Movement
2023-11-30,19:48:00.0,48,Sleep Movement
2023-11-30,19:49:00.0,49,Sleep Movement
2023-11-30,19:50:00.0,50,Sleep Movement
2023-11-30,19:51:00.0,51,Sleep Movement
2023-11-30,19:52:00.0,52,Sleep Movement
2023-11-30,19:53:00.0,53,Sleep Movement
2023-11-30,19:54:00.0,54,Sleep Movement
2023-11-30,19:55:00.0,55,Sleep Movement
2023-11-30,19:56:00.0,56,Sleep Movement
2023-11-30,19:57:00.0,57,Sleep Movement
2023-11-30,19:58:00.0,58,Sleep Movement
2023-11-30,19:59:00.0,59,Sleep Movement
2023-11-30,20:00:00.0,00,Sleep Movement
2023-11-30,20:01:00.0,01,Sleep Movement
2023-11-30,20:02:00.0,02,Sleep Movement
2023-11-30,20:03:00.0,03,Sleep Movement
2023-11-30,20:04:00.0,04,Sleep Movement
2023-11-30,20:05:00.0,05,Sleep Movement
2023-11-30,20:06:00.0,06,Sleep Movement
2023-11-30,20:07:00.0,07,Sleep Movement
2023-11-30,20:08:00.0,08,Sleep Movement
2023-11-30,20:09:00.0,09,Sleep Movement
2023-11-30,20:10:00.0,10,Sleep Movement
2023-11-30,20:11:00.0,11,Sleep Movement
2023-11-30,20:12:00.0,12,Sleep Movement
2023-11-30,20:13:00.0,13,Sleep Movement
2023-11-30,20:14:00.0,14,Sleep Movement
2023-11-30,20:15:00.0,15,Sleep Movement
2023-11-30,20:16:00.0,16,Sleep Movement
2023-11-30,20:17:00.0,17,Sleep Movement
2023-11-30,20:18:00.0,18,Sleep Movement
2023-11-30,20:19:00.0,19,Sleep Movement
2023-11-30,20:20:00.0,20,Sleep Movement
2023-11-30,20:21:00.0,21,Sleep Movement
2023-11-30,20:22:00.0,22,Sleep Movement
2023-11-30,20:23:00.0,23,Sleep Movement
2023-11-30,20:24:00.0,24,Sleep Movement
2023-11-30,20:25:00.0,25,Sleep Movement
